Performance ID,Activity ID,Activity Type ID,Distance,Calories,Time (minutes),Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Avg Pace (min/km),Best Pace (min/km)
239_AT002,239,AT002,5.43,453.0,36.95,150,174,3.5,150.0,6.8,5.37
240_AT007,240,AT007,0.0,318.0,25.73,145,180,3.5,61.0,,
241_AT005,241,AT005,0.0,244.0,28.07,116,149,2.1,,,
242_AT002,242,AT002,4.47,390.0,30.1,156,176,3.4,162.0,6.73,3.55
243_AT002,243,AT002,4.84,388.0,27.95,154,173,3.7,162.0,5.78,4.73
244_AT004,244,AT004,,569.0,71.45,153,180,4.6,,2.07,0.95
245_AT005,245,AT005,0.0,608.0,51.43,143,167,3.7,,,
246_AT002,246,AT002,5.1,433.0,32.45,156,179,4.1,135.0,6.37,4.25
247_AT004,247,AT004,,350.0,42.25,138,167,3.2,,2.18,1.58
248_AT005,248,AT005,0.0,435.0,43.38,126,158,3.0,,,
249_AT002,249,AT002,7.54,711.0,54.42,158,183,4.9,142.0,7.22,4.67
250_AT007,250,AT007,1.54,258.0,29.9,119,161,2.4,46.0,,
251_AT002,251,AT002,5.16,428.0,40.55,128,155,3.1,134.0,7.85,5.27
252_AT007,252,AT007,0.92,253.0,31.27,116,150,2.0,22.0,,
253_AT007,253,AT007,0.0,331.0,33.83,124,157,2.4,28.0,,
254_AT002,254,AT002,4.61,387.0,30.13,149,171,3.2,150.0,6.53,4.83
255_AT002,255,AT002,5.78,523.0,40.67,148,180,3.7,140.0,7.03,3.42
256_AT002,256,AT002,4.72,390.0,32.32,139,169,3.1,148.0,6.85,5.32
257_AT002,257,AT002,3.49,326.0,26.62,147,172,3.1,125.0,7.62,3.02
258_AT002,258,AT002,4.62,404.0,30.15,151,181,3.2,152.0,6.52,4.77
259_AT002,259,AT002,2.32,194.0,14.9,148,171,2.5,144.0,6.43,4.3
260_AT002,260,AT002,2.46,200.0,14.32,150,179,2.7,160.0,5.82,5.07
261_AT002,261,AT002,7.36,583.0,43.93,142,156,3.4,165.0,5.97,5.1
262_AT002,262,AT002,9.03,729.0,51.0,161,179,4.2,167.0,5.65,4.63
