Lap ID,Activity ID,Best Lap Time (min),Number of Laps,Total Distance (km),Lap Distance (km),Moving Time (min),Elapsed Time (min)
LAP262,401,1.09,9,6.45,0.7166666666666667,40.03,40.6
LAP263,402,1.65,18,15.81,0.8783333333333334,87.28,92.7
LAP264,403,0.33,21,4.93,0.23476190476190475,30.12,31.25
LAP265,404,0.15,10,7.77,0.7769999999999999,39.95,40.0
LAP266,405,3.35,6,4.76,0.7933333333333333,27.45,30.0
LAP267,406,3.3,10,8.81,0.881,49.33,50.0
LAP268,407,0.03,8,5.24,0.655,30.02,30.77
LAP269,408,0.25,10,6.87,0.687,36.97,37.32
LAP270,409,4.72,7,5.96,0.8514285714285714,34.82,36.82
LAP271,410,0.09,12,9.96,0.8300000000000001,59.88,60.08
LAP272,411,0.01,7,5.36,0.7657142857142858,29.9,30.18
LAP273,412,0.58,4,1.6,0.4,0.14,9.0
LAP274,413,0.76,8,5.0,0.625,28.15,28.5
